entity_id,canonical_name,year,pc_state_ownership,pc_state_board,pc_officeholder,pc_public_bank,pc_political_figure,pc_officeholder_former,pc_public_bank_equity,max_state_stake_pct,pc_narrow,pc_broad,n_evidence,n_evidence_ocr,categories
F2d5c846e3d,MODERN LEASING,2009,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F2d5c846e3d,MODERN LEASING,2011,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F2d5c846e3d,MODERN LEASING,2012,0,0,0,1,0,0,0,,0,1,3,0,public_bank_interlock|public_bank_seat
F2d5c846e3d,MODERN LEASING,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F2d5c846e3d,MODERN LEASING,2014,0,0,0,1,0,0,1,,0,1,4,0,public_bank_equity|public_bank_seat
F2d5c846e3d,MODERN LEASING,2015,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F2d5c846e3d,MODERN LEASING,2017,0,0,0,1,0,0,1,,0,1,4,0,public_bank_equity|public_bank_interlock|public_bank_seat
F91e5f4ddcc,MONASTIR,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F496e99855b,MUTUELLE ASSURANCE DE L'ENSEIGNEMENT,2021,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe0d57f20fa,MUTUELLE ASSURANCE DE L'ENSEIGNEMENT MAE,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F91c1453bd1,MUTUELLE DU SAVOIR,2024,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F91c1453bd1,MUTUELLE DU SAVOIR,2026,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F23217da563,Managing Consultant - Groupe CAPGEMINI,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F23217da563,Managing Consultant - Groupe CAPGEMINI,2017,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F23217da563,Managing Consultant - Groupe CAPGEMINI,2018,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Ff7f7890411,Ministère du,2013,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fb53a7c1c16,Modern Leasing /2,2015,0,0,0,1,0,0,1,,0,1,4,0,public_bank_equity|public_bank_interlock|public_bank_seat
Ff667dbd63c,Mohamed Safouane Ben Aissa,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F2ab46d6857,Mohamed Safouène Ben Aissa,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F3a21ad1267,Mohamed Salah CHEBBI LAHSAN,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F3e09e1a09c,Moussa,2007,0,0,0,1,0,0,0,,0,1,2,0,public_bank_seat
F3e09e1a09c,Moussa,2009,0,0,0,1,0,0,0,,0,1,2,0,public_bank_seat
F6919a62aff,NIDA SA,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Faabaa99c8a,Notice publiée au JORT no 35 du 30 avril,1990,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F76610d7c10,Office des Céréales,2008,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Ff5ed3f22cd,"PALACE""",2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
